ACCIDENT REF,BOROUGH,BORO,EASTING,NORTHING,CREFNO,CASUALTY CLASS,CASUALTY SEX,CASUALTY AGE (BANDED),CASUALTY AGE,NO. OF CASUALTIES,CASUALTY SEVERITY,PED LOCATION,PED MOVEMENT,MODE OF TRAVEL,ACCIDENT DATE
1190205211,NEWHAM,17,540719,185768,1,3 PEDESTRIAN,2 FEMALE,25-59,39,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/12
1190205212,WALTHAM FOREST,13,539162,185723,1,3 PEDESTRIAN,1 MALE,25-59,55,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205221,WANDSWORTH,10,525778,175009,2,3 PEDESTRIAN,2 FEMALE,60+,67,2,1,08 IN CENTRE OF CARRIAGEWAY,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205222,NEWHAM,17,543044,179939,1,3 PEDESTRIAN,1 MALE,0-15,12,1,1,08 IN CENTRE OF CARRIAGEWAY,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205224,REDBRIDGE,14,543568,186413,1,3 PEDESTRIAN,1 MALE,25-59,53,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205255,BRENT,28,519563,183914,1,3 PEDESTRIAN,2 FEMALE,16-24,24,1,1,06 ON FOOTPATH - VERGE,1 FROM DRIVERS N/SIDE,1 PEDESTRIAN,2019/9/13
1190205256,WALTHAM FOREST,13,537245,191154,1,3 PEDESTRIAN,2 FEMALE,25-59,43,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205272,ISLINGTON,3,531702,183879,1,3 PEDESTRIAN,1 MALE,25-59,34,1,1,06 ON FOOTPATH - VERGE,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205275,BROMLEY,19,535525,170011,1,3 PEDESTRIAN,1 MALE,25-59,27,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205286,ENFIELD,32,533066,197777,1,3 PEDESTRIAN,1 MALE,16-24,22,1,1,08 IN CENTRE OF CARRIAGEWAY,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205311,LAMBETH,9,531923,174980,1,3 PEDESTRIAN,1 MALE,0-15,4,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205336,WESTMINSTER,1,529477,178969,1,3 PEDESTRIAN,1 MALE,25-59,29,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205344,EALING,27,517777,180738,1,3 PEDESTRIAN,1 MALE,25-59,41,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205374,LAMBETH,9,530345,172830,1,3 PEDESTRIAN,1 MALE,25-59,40,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205381,HAMMERSMITH & FULHAM,11,523307,178362,1,3 PEDESTRIAN,2 FEMALE,60+,79,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205402,BARNET,30,526898,195895,1,3 PEDESTRIAN,1 MALE,25-59,56,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205405,HARROW,29,518273,190527,1,3 PEDESTRIAN,1 MALE,0-15,2,2,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205405,HARROW,29,518273,190527,2,3 PEDESTRIAN,2 FEMALE,25-59,29,2,1,05 CROSSING ROAD (NOT ON XING),1 FROM DRIVERS N/SIDE,1 PEDESTRIAN,2019/9/14
1190205412,LEWISHAM,7,536628,175134,1,3 PEDESTRIAN,2 FEMALE,0-15,5,1,1,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN,2019/9/14
1190205418,HACKNEY,4,532591,185688,1,3 PEDESTRIAN,1 MALE,25-59,32,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205424,SOUTHWARK,8,534235,176779,1,3 PEDESTRIAN,1 MALE,25-59,52,1,1,09 IN ROAD - NOT CROSSING,1 FROM DRIVERS N/SIDE,1 PEDESTRIAN,2019/9/15
1190205427,HARROW,29,519054,189059,1,3 PEDESTRIAN,1 MALE,16-24,24,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205429,BROMLEY,19,546202,165898,1,3 PEDESTRIAN,1 MALE,25-59,54,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205430,HACKNEY,4,533263,182607,1,3 PEDESTRIAN,2 FEMALE,16-24,21,1,2,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205445,BARKING & DAGENHAM,16,546718,183651,1,3 PEDESTRIAN,1 MALE,25-59,36,1,3,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205450,HARROW,29,514114,186225,1,3 PEDESTRIAN,1 MALE,U,,1,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205469,BARKING & DAGENHAM,16,546645,182033,1,3 PEDESTRIAN,1 MALE,60+,62,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205506,CROYDON,20,533379,167953,1,3 PEDESTRIAN,2 FEMALE,0-15,8,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205523,HILLINGDON,26,505795,182662,1,3 PEDESTRIAN,2 FEMALE,25-59,43,2,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205523,HILLINGDON,26,505795,182662,2,3 PEDESTRIAN,2 FEMALE,25-59,47,2,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205526,REDBRIDGE,14,540200,190095,1,3 PEDESTRIAN,2 FEMALE,25-59,35,1,1,06 ON FOOTPATH - VERGE,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205562,WALTHAM FOREST,13,537310,192802,1,3 PEDESTRIAN,1 MALE,0-15,12,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205574,WESTMINSTER,1,526996,181502,1,3 PEDESTRIAN,1 MALE,U,,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190205612,WESTMINSTER,1,529967,178284,1,3 PEDESTRIAN,1 MALE,25-59,49,1,2,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205648,NEWHAM,17,541059,183612,1,3 PEDESTRIAN,1 MALE,0-15,14,2,2,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205648,NEWHAM,17,541059,183612,2,3 PEDESTRIAN,1 MALE,0-15,13,2,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205650,EALING,27,511580,178898,1,3 PEDESTRIAN,2 FEMALE,0-15,12,1,2,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205667,TOWER HAMLETS,5,536473,183627,1,3 PEDESTRIAN,1 MALE,25-59,31,1,1,01 CROSSING ROAD ON PED XING,2 FROM DRIVERS N/SIDE MSK,1 PEDESTRIAN,2019/9/15
1190205683,HILLINGDON,26,509002,191528,1,3 PEDESTRIAN,1 MALE,0-15,13,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
