_COLLISION ID,BOROUGH NAME,BOROUGH NUMBER,EASTING,NORTHING,_CASUALTY ID,_CASUALTY CLASS,CASUALTY GENDER,CASUALTY AGE (5 YEAR BANDS),CASUALTY AGE,_CASUALTY COUNT,_CASUALTY SEVERITY,PEDESTRIAN LOCATION,PEDESTRIAN MOVEMENT,CASUALTY MODE OF TRAVEL,_COLLISION DATE
1220403339,Islington,3,531298,183126,1,Pedestrian,Male,15-19,18.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-07
1220403343,Southwark,8,531652,179878,1,Pedestrian,Female,0-4,3.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side Msk,Pedestrian,2022-10-07
1220403352,Haringey,31,528284,189836,1,Pedestrian,Male,14-Oct,11.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-07
1220403377,Sutton,21,524529,163676,1,Pedestrian,Male,70-74,70.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-07
1220403389,Camden,2,529103,184022,1,Pedestrian,Male,55-59,55.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-07
1220403400,Barnet,30,525082,190177,1,Pedestrian,Female,15-19,18.0,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-07
1220403411,Southwark,8,533166,178526,2,Pedestrian,Male,20-24,23.0,1,Serious,In Centre Of Carriageway,From Drivers N/Side,Pedestrian,2022-10-07
1220403476,Brent,28,523905,184295,1,Pedestrian,Female,65-69,69.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-08
1220403487,Tower Hamlets,5,538018,181012,1,Pedestrian,Male,40-44,41.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-07
1220403489,Lambeth,9,530431,175081,1,Pedestrian,Female,20-24,23.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-07
1220403518,Brent,28,523919,185584,1,Pedestrian,Female,30-34,33.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-06
1220403521,Westminster,1,529373,180527,2,Pedestrian,Female,50-54,51.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-08
1220403528,Hammersmith & Fulham,11,525603,176808,1,Pedestrian,Female,25-29,27.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-08
1220403530,Hackney,4,533926,183206,1,Pedestrian,Female,65-69,68.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-08
1220403537,Haringey,31,533907,190771,2,Pedestrian,Male,14-Oct,12.0,1,Slight,In Road - Not Crossing,In Rd Facing Traffic,Pedestrian,2022-10-08
1220403542,Hackney,4,534948,184784,1,Pedestrian,Female,35-39,37.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-08
1220403549,Hounslow,25,511945,171506,1,Pedestrian,Female,Unknown,,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-08
1220403556,Greenwich,6,539500,178252,1,Pedestrian,Male,50-54,52.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-08
1220403563,Westminster,1,525140,182050,1,Pedestrian,Male,20-24,22.0,1,Serious,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-08
1220403574,Enfield,32,535330,196211,1,Pedestrian,Male,45-49,49.0,1,Slight,In Road - Not Crossing,In Rd Facing Traffic,Pedestrian,2022-10-08
1220403580,Lewisham,7,539649,172488,2,Pedestrian,Male,14-Oct,14.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-08
1220403581,Hounslow,25,520512,178499,2,Pedestrian,Male,5-Sep,8.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-08
1220403581,Hounslow,25,520512,178499,3,Pedestrian,Male,30-34,34.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-08
1220403592,Camden,2,528923,183898,1,Pedestrian,Female,35-39,38.0,1,Slight,Crossing Road Within 50m Xing,Unknown Or Other,Pedestrian,2022-10-09
1220403629,Croydon,20,532297,169186,1,Pedestrian,Female,30-34,30.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-09
1220403643,Croydon,20,532560,167063,1,Pedestrian,Female,25-29,26.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-09
1220403662,Hounslow,25,515685,175808,1,Pedestrian,Male,0-4,4.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-09
1220403669,Sutton,21,527519,165144,1,Pedestrian,Female,40-44,43.0,1,Slight,Crossing Road Within 50m Xing,From Drivers O/Side Msk,Pedestrian,2022-10-09
1220403708,Westminster,1,529493,180572,1,Pedestrian,Female,20-24,21.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-09
1220403721,Hillingdon,26,509578,179291,1,Pedestrian,Male,15-19,19.0,1,Slight,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-09
1220403725,Southwark,8,533369,176720,1,Pedestrian,Male,55-59,56.0,1,Slight,On Refuge,Unknown Or Other,Pedestrian,2022-10-09
1220403743,Tower Hamlets,5,534466,181848,1,Pedestrian,Male,50-54,51.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-09
1220403753,Hackney,4,533685,187910,1,Pedestrian,Male,40-44,42.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-10
1220403760,Islington,3,531767,184740,1,Pedestrian,Male,55-59,57.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side Msk,Pedestrian,2022-10-10
1220403775,Wandsworth,10,525540,172912,1,Pedestrian,Female,35-39,37.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-05
1220403782,Camden,2,525225,185221,1,Pedestrian,Female,35-39,36.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-10
